Samsung TV 50 polegadas;3332.19;10
iPhone 14 Pro;2853.98;13
Geladeira Brastemp 500L;792.98;197
Liquidificador Oster;1246.25;113
Telefone Sem Fio Panasonic;7892.12;118
Smart TV LG 65 polegadas;5422.5;159
iPhone 13;5570.62;24
Geladeira Consul 300L;8853.95;146
Liquidificador Walita;8739.92;96
Telefone Fixo Intelbras;1104.91;34
Samsung Galaxy S21;1694.06;23
Microondas Electrolux;5444.19;78
Ar Condicionado Split LG;3049.22;193
iPhone 12;2785.81;122
Fogão 4 bocas Atlas;7720.78;55
Notebook Dell Inspiron;3155.28;49
Cafeteira Nespresso;5383.13;67
Xbox Series X;5506.31;51
PlayStation 5;6100.02;13
TV Sony 75 polegadas;5306.86;70
Tablet Samsung Galaxy;8417.35;48
Echo Dot Alexa;8011.58;59
Apple Watch Series 8;2289.43;32
Refrigerador Panasonic 450L;1171.44;38
Máquina de Lavar Samsung;8858.5;49
Smartwatch Xiaomi Mi Band;8963.54;45
TV Philips 55 polegadas;8263.11;124
iPhone SE 2022;2882.59;42
Samsung Galaxy Z Fold;6874.93;12
Lavadora Brastemp;5133.89;27
Câmera Canon EOS;6396.85;111
Notebook HP Pavilion;6662.9;45
Máquina de Lavar LG;1722.66;138
Monitor Samsung 24 polegadas;9995.82;37
Aspirador de Pó Electrolux;3479.17;44
Smart TV TCL 50 polegadas;2272.44;47
Fone de Ouvido JBL;5161.63;128
Caixa de Som Bluetooth Anker;173.26;81
Geladeira Electrolux 400L;1796.62;33
iPhone 11;5556.92;118
Notebook Acer Aspire;3470.47;133
Cafeteira Dolce Gusto;4867.52;29
TV LG OLED 55 polegadas;1294.08;177
Samsung Galaxy A53;7833.93;25
Fogão 5 bocas Brastemp;3736.2;117
Som Automotivo Pioneer;7253.7;25
Secadora Electrolux;7246.09;47
Geladeira LG 500L;2403.65;187
Fritadeira Elétrica Philips;1017.21;10
Cafeteira Oster;8429.94;116
